1,2,3,4,class
95,47,73,195,bus
99,57,109,220,opel
105,54,105,213,opel
89,36,68,149,van
101,51,105,212,opel
86,43,68,150,van
81,38,53,123,opel
101,51,98,194,saab
93,46,85,169,van
100,41,75,205,bus
91,39,77,153,van
91,39,72,133,saab
100,57,107,207,opel
92,45,76,162,saab
97,46,101,210,opel
98,39,81,191,saab
90,34,66,158,saab
98,44,78,160,van
106,54,101,222,saab
95,47,81,176,saab
84,45,68,148,bus
86,46,73,125,bus
98,38,72,192,bus
97,45,88,173,van
100,55,101,189,opel
108,52,109,182,saab
103,51,105,174,saab
105,55,96,181,opel
111,54,103,171,opel
94,37,73,186,bus
99,50,88,204,opel
89,43,77,147,saab
90,48,78,143,van
79,47,74,141,bus
90,36,57,130,saab
98,42,90,192,saab
89,40,69,147,opel
85,40,66,136,saab
86,43,69,123,bus
90,49,85,141,van
96,49,98,187,bus
89,40,72,155,bus
85,43,66,123,bus
107,55,98,199,bus
97,55,104,219,saab
109,47,96,206,saab
100,50,81,197,bus
104,50,96,211,saab
98,58,101,208,opel
87,36,53,117,van
107,53,108,211,saab
101,52,105,162,opel
95,43,71,159,bus
93,41,75,124,van
90,47,85,149,van
92,41,66,125,van
89,41,75,143,opel
107,53,108,213,saab
99,47,91,226,bus
97,47,88,183,bus
102,48,105,214,saab
92,40,66,111,van
100,36,73,199,bus
90,39,86,169,opel
95,53,95,202,saab
96,40,78,170,saab
83,41,70,155,bus
107,54,98,210,saab
107,51,103,182,saab
73,37,53,111,opel
105,52,107,207,opel
91,52,98,196,opel
100,51,109,231,opel
99,48,79,199,bus
104,55,109,230,opel
82,38,53,125,opel
119,54,106,220,saab
91,45,75,154,opel
89,36,69,142,opel
85,35,64,129,van
86,38,86,175,saab
115,52,100,203,saab
109,54,103,220,saab
97,48,94,198,opel
88,42,77,151,saab
93,34,66,140,opel
90,36,85,184,saab
87,42,60,116,bus
89,46,77,125,van
104,58,103,230,opel
87,39,74,165,bus
103,52,103,170,bus
105,50,93,173,bus
85,42,70,130,bus
93,39,63,146,saab
116,53,110,231,saab
105,53,108,206,saab
106,54,105,164,bus
93,39,87,183,saab
95,57,104,228,opel
89,38,82,156,saab
109,49,103,186,opel
85,38,72,130,opel
89,47,83,322,van
109,52,104,199,saab
98,44,88,176,van
84,47,75,153,bus
89,36,77,172,opel
107,57,106,172,bus
89,41,84,141,van
95,45,105,208,saab
91,41,84,141,van
83,46,71,156,bus
101,48,85,191,saab
104,52,110,172,opel
89,45,81,246,van
105,51,108,201,saab
85,43,66,123,bus
97,41,62,133,van
91,43,88,157,van
104,52,101,206,opel
96,46,88,174,van
96,46,74,202,bus
94,46,79,181,opel
106,53,98,176,saab
91,38,75,136,saab
84,37,70,150,van
104,51,105,168,saab
96,45,101,201,saab
104,55,105,223,opel
83,46,68,139,bus
101,56,104,185,bus
85,42,66,122,bus
112,50,104,197,saab
78,36,60,116,opel
